feature,importance
precip_mean_local,0.7212831815084545
year,0.17401949294050542
precip_mean,0.08922835945188096
precip_std_local,0.0058996576640020565
precip_std,0.005371519723239448
precip_rolling_6m,0.0020692514362122393
precip_rolling_3m,0.0006600694398379689
precip_lag1,0.0005477773475525942
precip_lag2,0.000328005895221855
precip_std_anomaly,0.000156540196861709
precipitation,0.00012721598318560885
precip_anomaly,0.00012529212130001665
quarter,7.473595077461394e-05
month,6.402570423089246e-05
extreme_wet,2.5858312880396998e-05
extreme_dry,1.9016323859760436e-05
